,Unnamed: 0,ciudad_de_ubicaci_n,fecha_reporte_web,conteo_confirmados,conteo_recuperado,conteo_fallecidos,casos_activos,acumulado_dia_confirmados,acumulado_dia_recuperado,acumulado_dia_fallecidos,acumulado_dia_activos,Poblacion_total,susceptibles,tasa_contagiados,tasa_recuperados,tasa_contagiados_mas_1,media_movil_med,media_movil_contagiados_med,media_movil_recuperados_med
48,717,Medellín,2020-05-06,3,3.0,0.0,0.0,293,290.0,3.0,0.0,2427129,2426836,0.00012073333344321577,0.9897610921501706,1.0001207333334432,0.00011949700926705369,0.00011949700926705369,0.9896544342971634
49,718,Medellín,2020-05-07,3,3.0,0.0,0.0,296,293.0,3.0,0.0,2427129,2426833,0.00012196966169489207,0.9898648648648649,1.000121969661695,0.00012073333446209526,0.00012073333446209526,0.9897603764762763
50,719,Medellín,2020-05-08,3,3.0,0.0,0.0,299,296.0,3.0,0.0,2427129,2426830,0.00012320599300321818,0.9899665551839465,1.0001232059930032,0.00012196966271377533,0.00012196966271377533,0.9898641707329943
51,720,Medellín,2020-05-09,1,1.0,0.0,0.0,300,297.0,3.0,0.0,2427129,2426829,0.00012361810411858437,0.99,1.0001236181041187,0.00012293125293889819,0.00012293125293889819,0.9899438066829372
52,721,Medellín,2020-05-10,2,2.0,0.0,0.0,302,299.0,3.0,0.0,2427129,2426827,0.00012444232736820549,0.9900662251655629,1.0001244423273683,0.00012375547483000265,0.00012375547483000265,0.9900109267831699
53,722,Medellín,2020-05-11,5,5.0,0.0,0.0,307,304.0,3.0,0.0,2427129,2426822,0.00012650289143579545,0.990228013029316,1.000126502891436,0.00012485444097419507,0.00012485444097419507,0.990098079398293
54,723,Medellín,2020-05-12,4,3.0,1.0,0.0,311,307.0,4.0,0.0,2427129,2426818,0.00012815134880324772,0.9871382636655949,1.0001281513488032,0.00012636552253574953,0.00012636552253574953,0.9891441672868245
55,724,Medellín,2020-05-13,7,7.0,0.0,0.0,318,314.0,4.0,0.0,2427129,2426811,0.0001310361622722165,0.9874213836477987,1.0001310361622722,0.00012856346750375323,0.00012856346750375323,0.9882625534475699
56,725,Medellín,2020-05-14,10,10.0,0.0,0.0,328,324.0,4.0,0.0,2427129,2426801,0.00013515735323992367,0.9878048780487805,1.00013515735324,0.00013144828810512932,0.00013144828810512932,0.9874548417873914
57,726,Medellín,2020-05-15,7,6.0,1.0,0.0,335,330.0,5.0,0.0,2427129,2426794,0.00013804220712594476,0.9850746268656716,1.000138042207126,0.00013474524087936165,0.00013474524087936165,0.9867669628540835
58,727,Medellín,2020-05-16,6,5.0,1.0,0.0,341,335.0,6.0,0.0,2427129,2426788,0.0001405149522743643,0.9824046920821115,1.0001405149522744,0.00013790483754674425,0.00013790483754674425,0.9850947323321878
59,728,Medellín,2020-05-17,8,8.0,0.0,0.0,349,343.0,6.0,0.0,2427129,2426780,0.0001438119648258186,0.9828080229226361,1.0001438119648258,0.0001407897080753759,0.0001407897080753759,0.9834291139568063
60,729,Medellín,2020-05-18,6,6.0,0.0,0.0,355,349.0,6.0,0.0,2427129,2426774,0.000146284738504698,0.9830985915492958,1.0001462847385048,0.00014353721853496032,0.00014353721853496032,0.9827704355180144
61,730,Medellín,2020-05-19,13,13.0,0.0,0.0,368,362.0,6.0,0.0,2427129,2426761,0.00015164245675614534,0.9836956521739131,1.0001516424567563,0.000147246386695554,0.000147246386695554,0.9832007555486149
62,731,Medellín,2020-05-20,4,4.0,0.0,0.0,372,366.0,6.0,0.0,2427129,2426757,0.00015329099699722717,0.9838709677419355,1.0001532909969972,0.00015040606408602353,0.00015040606408602353,0.9835550704883813
63,732,Medellín,2020-05-21,13,13.0,0.0,0.0,385,379.0,6.0,0.0,2427129,2426744,0.00015864879031327574,0.9844155844155844,1.0001586487903134,0.00015452741468888274,0.00015452741468888274,0.9839940681104776
64,733,Medellín,2020-05-22,8,8.0,0.0,0.0,393,387.0,6.0,0.0,2427129,2426736,0.00016194592242419446,0.9847328244274809,1.0001619459224242,0.00015796190324489912,0.00015796190324489912,0.9843397921950002
65,734,Medellín,2020-05-23,34,34.0,0.0,0.0,427,421.0,6.0,0.0,2427129,2426702,0.00017595897642149716,0.9859484777517564,1.0001759589764214,0.00016551789638632246,0.00016551789638632246,0.9850322955316072
66,735,Medellín,2020-05-24,13,13.0,0.0,0.0,440,434.0,6.0,0.0,2427129,2426689,0.00018131701260441695,0.9863636363636363,1.0001813170126044,0.00017307397048336952,0.00017307397048336952,0.9856816461809578
67,736,Medellín,2020-05-25,6,6.0,0.0,0.0,446,440.0,6.0,0.0,2427129,2426683,0.00018378997174332205,0.9865470852017937,1.0001837899717434,0.00018035532025641206,0.00018035532025641206,0.9862863997723954
68,737,Medellín,2020-05-26,23,23.0,0.0,0.0,469,463.0,6.0,0.0,2427129,2426660,0.00019326976173011465,0.9872068230277186,1.0001932697617302,0.0001861255820259512,0.0001861255820259512,0.9867058481977161
69,738,Medellín,2020-05-27,14,14.0,0.0,0.0,483,477.0,6.0,0.0,2427129,2426646,0.00019904015666067485,0.9875776397515528,1.0001990401566607,0.00019203329671137052,0.00019203329671137052,0.9871105159936882
70,739,Medellín,2020-05-28,21,21.0,0.0,0.0,504,498.0,6.0,0.0,2427129,2426625,0.0002076958738989337,0.9880952380952381,1.000207695873899,0.00020000193076324108,0.00020000193076324108,0.9876265669581695
71,740,Medellín,2020-05-29,11,11.0,0.0,0.0,515,509.0,6.0,0.0,2427129,2426614,0.0002122298808133473,0.9883495145631068,1.0002122298808134,0.00020632197045765196,0.00020632197045765196,0.9880074641366323
72,741,Medellín,2020-05-30,16,16.0,0.0,0.0,531,525.0,6.0,0.0,2427129,2426598,0.00021882487334119619,0.9887005649717514,1.0002188248733412,0.00021291687601782575,0.00021291687601782575,0.9883817725433651
73,742,Medellín,2020-05-31,17,17.0,0.0,0.0,548,542.0,6.0,0.0,2427129,2426581,0.0002258321481953415,0.9890510948905109,1.0002258321481954,0.000218962300783295,0.000218962300783295,0.9887003914751227
74,743,Medellín,2020-06-01,5,5.0,0.0,0.0,553,547.0,6.0,0.0,2427129,2426576,0.00022789313007299175,0.9891500904159132,1.000227893130073,0.00022418338386984314,0.00022418338386984314,0.9889672500927248
75,744,Medellín,2020-06-02,24,24.0,0.0,0.0,577,571.0,6.0,0.0,2427129,2426552,0.00023778596131465552,0.9896013864818024,1.0002377859613147,0.00023050374652766291,0.00023050374652766291,0.9892675239294085
76,745,Medellín,2020-06-03,16,16.0,0.0,0.0,593,587.0,6.0,0.0,2427129,2426536,0.0002443812908607167,0.9898819561551433,1.0002443812908608,0.000236686794082788,0.000236686794082788,0.9895444776842859
77,746,Medellín,2020-06-04,13,13.0,0.0,0.0,606,600.0,6.0,0.0,2427129,2426523,0.0002497400601601551,0.9900990099009901,1.0002497400601602,0.00024396910411184246,0.00024396910411184246,0.9898607841793116
78,747,Medellín,2020-06-05,13,12.0,0.0,0.0,619,612.0,6.0,0.0,2427129,2426510,0.0002550988868786858,0.9886914378029079,1.0002550988868786,0.0002497400792998526,0.0002497400792998526,0.9895574679530134
79,748,Medellín,2020-06-06,13,13.0,0.0,0.0,632,625.0,6.0,0.0,2427129,2426497,0.00026045777101723185,0.9889240506329114,1.0002604577710172,0.00025509890601869094,0.00025509890601869094,0.9892381661122694
80,749,Medellín,2020-06-07,16,14.0,2.0,0.0,648,639.0,8.0,0.0,2427129,2426481,0.00026705339955268554,0.9861111111111112,1.0002670533995526,0.00026087001914953446,0.00026087001914953446,0.9879088665156431
81,750,Medellín,2020-06-08,28,28.0,0.0,0.0,676,667.0,8.0,0.0,2427129,2426453,0.00027859595879252554,0.9866863905325444,1.0002785959587925,0.00026870237645414775,0.00026870237645414775,0.9872405174255219
82,751,Medellín,2020-06-09,34,31.0,0.0,3.0,710,698.0,8.0,3.0,2427129,2426419,0.0002926122817205108,0.9830985915492958,1.0002926122817206,0.000279420546688574,0.000279420546688574,0.9852986977309833
83,752,Medellín,2020-06-10,29,28.0,0.0,0.0,739,726.0,8.0,3.0,2427129,2426390,0.00030456769109664974,0.9824086603518268,1.0003045676910967,0.0002919253105365621,0.0002919253105365621,0.9840645474778885
84,753,Medellín,2020-06-11,18,18.0,0.0,0.0,757,744.0,8.0,3.0,2427129,2426372,0.0003119884337603632,0.9828269484808454,1.0003119884337603,0.00030305613552584126,0.00030305613552584126,0.9827780667939888
85,754,Medellín,2020-06-12,29,27.0,1.0,1.0,786,771.0,9.0,4.0,2427129,2426343,0.000323944306307888,0.9809160305343512,1.0003239443063079,0.00031350014372163364,0.00031350014372163364,0.982050546455674
86,755,Medellín,2020-06-13,33,32.0,0.0,1.0,819,803.0,9.0,5.0,2427129,2426310,0.00033754961237434625,0.9804639804639804,1.0003375496123743,0.0003244941174808658,0.0003244941174808658,0.9814023198263918
87,756,Medellín,2020-06-14,32,32.0,0.0,0.0,851,835.0,9.0,5.0,2427129,2426278,0.00035074298987997256,0.981198589894242,1.00035074298988,0.0003374123028540689,0.0003374123028540689,0.9808595336308574
88,757,Medellín,2020-06-15,51,50.0,1.0,0.0,902,885.0,10.0,5.0,2427129,2426227,0.00037177065460074427,0.9811529933481153,1.0003717706546007,0.0003533544189516877,0.0003533544189516877,0.9809385212354456
89,758,Medellín,2020-06-16,35,34.0,0.0,1.0,937,919.0,10.0,6.0,2427129,2426192,0.00038620191641881597,0.9807897545357525,1.000386201916419,0.00036957185363317756,0.00036957185363317756,0.9810471125927028
90,759,Medellín,2020-06-17,38,36.0,0.0,2.0,975,955.0,10.0,8.0,2427129,2426154,0.00040187061497332815,0.9794871794871794,1.0004018706149733,0.0003866143953309628,0.0003866143953309628,0.9804766424570154
91,760,Medellín,2020-06-18,62,56.0,2.0,4.0,1037,1011.0,12.0,12.0,2427129,2426092,0.00042743638740822687,0.9749276759884281,1.0004274363874082,0.00040516963960012366,0.00040516963960012366,0.9784015366704528
92,761,Medellín,2020-06-19,92,88.0,1.0,3.0,1129,1099.0,13.0,15.0,2427129,2426000,0.00046537510305028854,0.9734278122232064,1.0004653751030503,0.0004315607018106145,0.0004315607018106145,0.9759475558996042
93,762,Medellín,2020-06-20,45,41.0,1.0,3.0,1174,1140.0,14.0,18.0,2427129,2425955,0.00048393313148842413,0.9710391822827938,1.0004839331314885,0.0004589148739823131,0.0004589148739823131,0.9731315568314757
94,763,Medellín,2020-06-21,64,60.0,1.0,3.0,1238,1200.0,15.0,21.0,2427129,2425891,0.0005103279578513627,0.9693053311793215,1.0005103279578513,0.00048654539746335835,0.00048654539746335835,0.9712574418951069
95,764,Medellín,2020-06-22,40,37.0,0.0,3.0,1278,1237.0,15.0,24.0,2427129,2425851,0.0005268254315701995,0.9679186228482003,1.0005268254315702,0.0005070288403033287,0.0005070288403033287,0.9694210454367714
96,765,Medellín,2020-06-23,53,51.0,0.0,2.0,1331,1288.0,15.0,26.0,2427129,2425798,0.0005486854222816574,0.9676934635612322,1.0005486854222816,0.0005286129372344064,0.0005286129372344064,0.9683058058629176
97,766,Medellín,2020-06-24,83,75.0,4.0,4.0,1414,1363.0,19.0,30.0,2427129,2425715,0.00058292091197853,0.963932107496464,1.0005829209119785,0.0005528105886101289,0.0005528105886101289,0.966514731301965
98,767,Medellín,2020-06-25,95,85.0,4.0,5.0,1509,1448.0,23.0,35.0,2427129,2425620,0.0006221089865683826,0.9595758780649437,1.0006221089865683,0.0005845717736095232,0.0005845717736095232,0.963733816374213
99,768,Medellín,2020-06-26,119,109.0,5.0,5.0,1628,1557.0,28.0,40.0,2427129,2425501,0.0006712015373318749,0.9563882063882064,1.0006712015373318,0.0006254104786262625,0.0006254104786262625,0.9599653973165377
100,769,Medellín,2020-06-27,132,125.0,5.0,2.0,1760,1682.0,33.0,42.0,2427129,2425369,0.0007256627754374695,0.9556818181818182,1.0007256627754375,0.0006729910997792422,0.0006729910997792422,0.9572153008783224
101,770,Medellín,2020-06-28,128,116.0,5.0,7.0,1888,1798.0,38.0,49.0,2427129,2425241,0.0007784793346310738,0.9523305084745762,1.000778479334631,0.0007251145491334728,0.0007251145491334728,0.9548001776815331
102,771,Medellín,2020-06-29,74,67.0,0.0,7.0,1962,1865.0,38.0,56.0,2427129,2425167,0.0008090164512382033,0.9505606523955148,1.0008090164512382,0.0007710528537689156,0.0007710528537689156,0.9528576596839692
103,772,Medellín,2020-06-30,123,113.0,1.0,9.0,2085,1978.0,39.0,65.0,2427129,2425044,0.0008597782143334306,0.9486810551558753,1.0008597782143334,0.0008157580000675693,0.0008157580000675693,0.9505240720086549
104,773,Medellín,2020-07-01,117,102.0,5.0,10.0,2202,2080.0,44.0,75.0,2427129,2424927,0.0009080685727859024,0.9445958219800181,1.0009080685727858,0.0008589544127858454,0.0008589544127858454,0.9479458431771356
105,774,Medellín,2020-07-02,180,165.0,3.0,12.0,2382,2245.0,47.0,87.0,2427129,2424747,0.0009823705318534263,0.9424853064651554,1.0009823705318535,0.0009167391063242533,0.0009167391063242533,0.9452540612003492
106,775,Medellín,2020-07-03,145,133.0,5.0,7.0,2527,2378.0,52.0,94.0,2427129,2424602,0.001042232910803505,0.9410368025326474,1.0010422329108035,0.0009775573384809449,0.0009775573384809449,0.9427059769926066
107,776,Medellín,2020-07-04,231,204.0,7.0,19.0,2758,2582.0,59.0,113.0,2427129,2424371,0.0011376146637622707,0.9361856417693981,1.0011376146637623,0.001054072702139734,0.001054072702139734,0.9399025835890665
108,777,Medellín,2020-07-05,166,154.0,3.0,9.0,2924,2736.0,62.0,122.0,2427129,2424205,0.0012061686202280747,0.9357045143638851,1.001206168620228,0.0011286720649312835,0.0011286720649312835,0.9376423195553097
109,778,Medellín,2020-07-06,228,216.0,6.0,6.0,3152,2952.0,68.0,128.0,2427129,2423977,0.0013003423712353707,0.9365482233502538,1.0013003423712354,0.0012147085517419055,0.0012147085517419055,0.9361461264945118
110,779,Medellín,2020-07-07,240,213.0,6.0,21.0,3392,3165.0,74.0,149.0,2427129,2423737,0.0013994917765417618,0.9330778301886793,1.0013994917765419,0.0013020009226684024,0.0013020009226684024,0.9351101893009388
111,780,Medellín,2020-07-08,233,215.0,10.0,8.0,3625,3380.0,84.0,157.0,2427129,2423504,0.0014957681109666005,0.9324137931034483,1.0014957681109666,0.0013985340862479108,0.0013985340862479108,0.9340132822141265
112,781,Medellín,2020-07-09,300,289.0,4.0,7.0,3925,3669.0,88.0,164.0,2427129,2423204,0.0016197563226207946,0.9347770700636943,1.0016197563226208,0.0015050054033763855,0.0015050054033763855,0.9334228977852733
113,782,Medellín,2020-07-10,407,378.0,14.0,15.0,4332,4047.0,102.0,179.0,2427129,2422797,0.001788016082238834,0.9342105263157895,1.0017880160822388,0.0016345135052754096,0.0016345135052754096,0.9338004631609765
114,783,Medellín,2020-07-11,160,146.0,3.0,11.0,4492,4193.0,105.0,190.0,2427129,2422637,0.0018541779061411181,0.9334372217275155,1.0018541779061412,0.001753983437000249,0.001753983437000249,0.9341416060356657
